I	एक
MCMXLV	एक हज़ार नौ सौ पैंतालीस
MCMXLVI	एक हज़ार नौ सौ छियालीस
MCMXLVII	एक हज़ार नौ सौ सैंतालीस
MCMXLVIII	एक हज़ार नौ सौ अड़तालीस
MCMXLIX	एक हज़ार नौ सौ उनचास
MCML	एक हज़ार नौ सौ पचास
MCMLI	एक हज़ार नौ सौ इक्यावन
MCMLII	एक हज़ार नौ सौ बावन
MCMLIII	एक हज़ार नौ सौ तिरेपन
MCMLIV	एक हज़ार नौ सौ चौवन
MCMLV	एक हज़ार नौ सौ पचपन
MCMLVI	एक हज़ार नौ सौ छप्पन
MCMLVII	एक हज़ार नौ सौ सत्तावन
MCMLVIII	एक हज़ार नौ सौ अट्ठावन
MCMLIX	एक हज़ार नौ सौ उनसठ
MCMLX	एक हज़ार नौ सौ साठ
MCMLXI	एक हज़ार नौ सौ इकसठ
MCMLXII	एक हज़ार नौ सौ बासठ
MCMLXIII	एक हज़ार नौ सौ तिरेसठ
MCMLXIV	एक हज़ार नौ सौ चौंसठ
MCMLXV	एक हज़ार नौ सौ पैंसठ
MCMLXVI	एक हज़ार नौ सौ छियासठ
MCMLXVII	एक हज़ार नौ सौ सड़सठ
MCMLXVIII	एक हज़ार नौ सौ अड़सठ
MCMLXIX	एक हज़ार नौ सौ उनहत्तर
MCMLXX	एक हज़ार नौ सौ सत्तर
MCMLXXI	एक हज़ार नौ सौ इकहत्तर
MCMLXXII	एक हज़ार नौ सौ बहत्तर
MCMLXXIII	एक हज़ार नौ सौ तिहत्तर
MCMLXXIV	एक हज़ार नौ सौ चौहत्तर
MCMLXXV	एक हज़ार नौ सौ पचहत्तर
MCMLXXVI	एक हज़ार नौ सौ छिहत्तर
MCMLXXVII	एक हज़ार नौ सौ सतहत्तर
MCMLXXVIII	एक हज़ार नौ सौ अठहत्तर
MCMLXXIX	एक हज़ार नौ सौ उनासी
MCMLXXX	एक हज़ार नौ सौ अस्सी
MCMLXXXI	एक हज़ार नौ सौ इक्यासी
MCMLXXXII	एक हज़ार नौ सौ बयासी
MCMLXXXIII	एक हज़ार नौ सौ तिरासी
MCMLXXXIV	एक हज़ार नौ सौ चौरासी
MCMLXXXV	एक हज़ार नौ सौ पचासी
MCMLXXXVI	एक हज़ार नौ सौ छियासी
MCMLXXXVII	एक हज़ार नौ सौ सत्तासी
MCMLXXXVIII	एक हज़ार नौ सौ अट्ठासी
MCMLXXXIX	एक हज़ार नौ सौ नवासी
MCMXC	एक हज़ार नौ सौ नब्बे
MCMXCI	एक हज़ार नौ सौ इक्यानबे
MCMXCII	एक हज़ार नौ सौ बानबे
MCMXCIII	एक हज़ार नौ सौ तिरानबे
MCMXCIV	एक हज़ार नौ सौ चौरानबे
MCMXCV	एक हज़ार नौ सौ पंचानबे
MCMXCVI	एक हज़ार नौ सौ छियानबे
MCMXCVII	एक हज़ार नौ सौ सत्तानबे
MCMXCVIII	एक हज़ार नौ सौ अट्ठानबे
MCMXCIX	एक हज़ार नौ सौ निन्यानबे
MM	दो हज़ार
